+0000.0021358900188891,+0000.9642515831251683,+0000.0115424461074330,+0000.0220700807485094
+0000.0013082979108969,+0000.9650615661656894,+0000.0112414700581242,+0000.0223886658652894
+0000.0006824811865554,+0000.9656742446466718,+0000.0109380402516639,+0000.0227052339151088
+0000.0002585206441686,+0000.9660894257949711,+0000.0106324520446144,+0000.0230196015162457
+0000.0000364112488501,+0000.9663069985221102,+0000.0103250057899545,+0000.0233315844390850
+0000.0000160621836609,+0000.9663269334226133,+0000.0100160066663971,+0000.0236409977273285
+0000.0001972969376635,+0000.9661492827377959,+0000.0097057645035629,+0000.0239476558209776
+0000.0005798534308350,+0000.9657741802850450,+0000.0093945936031007,+0000.0242513726810192
+0000.0011633841757635,+0000.9652018413526418,+0000.0090828125558513,+0000.0245519619157434
+0000.0019474564760389,+0000.9644325625601882,+0000.0087707440551544,+0000.0248492369086184
+0000.0029315526612314,+0000.9634667216847207,+0000.0084587147063988,+0000.0251430109476490
+0000.0041150703583358,+0000.9623047774526018,+0000.0081470548329203,+0000.0254330973561419
+0000.0054973227995427,+0000.9609472692973017,+0000.0078360982783550,+0000.0257193096248006
+0000.0070775391661840,+0000.9593948170831906,+0000.0075261822055556,+0000.0260014615450697
+0000.0088548649686824,+0000.9576481207954823,+0000.0072176468921845,+0000.0262793673436506
+0000.0108283624623190,+0000.9557079601964803,+0000.0069108355230967,+0000.0265528418181038
+0000.0129970110986193,+0000.9535751944482931,+0000.0066060939796287,+0000.0268217004734588
+0000.0153597080121396,+0000.9512507617022021,+0000.0063037706259142,+0000.0270857596597439
+0000.0179152685424245,+0000.9487356786548753,+0000.0060042160923463,+0000.0273448367103537
+0000.0206624267908852,+0000.9460310400716383,+0000.0057077830563099,+0000.0275987500811664
+0000.0235998362123395,+0000.9431380182770256,+0000.0054148260203100,+0000.0278473194903247
+0000.0267260702409338,+0000.9400578626128507,+0000.0051257010876242,+0000.0280903660585911
+0000.0300396229501567,+0000.9367918988640460,+0000.0048407657356076,+0000.0283277124501896
+0000.0335389097466361,+0000.9333415286525383,+0000.0045603785867823,+0000.0285591830140432
+0000.0372222680973996,+0000.9297082287994383,+0000.0042848991778457,+0000.0287846039253164
+0000.0410879582902596,+0000.9258935506558382,+0000.0040146877267310,+0000.0290038033271710
+0000.0451341642269772,+0000.9218991194025210,+0000.0037501048978579,+0000.0292166114726438
+0000.0493589942488348,+0000.9177266333189018,+0000.0034915115657120,+0000.0294228608665513
+0000.0537604819942445,+0000.9133778630215330,+0000.0032392685768920,+0000.0296223864073304
+0000.0583365872879952,+0000.9088546506725189,+0000.0029937365107669,+0000.0298150255287189
+0000.0630851970617371,+0000.9041589091581954,+0000.0027552754388855,+0000.0300006183411818
+0000.0680041263052795,+0000.8992926212384483,+0000.0025242446832831,+0000.0301790077729890
+0000.0730911190482737,+0000.8942578386670489,+0000.0023010025738295,+0000.0303500397108478
+0000.0783438493718322,+0000.8890566812834061,+0000.0020859062047661,+0000.0305135631399955
+0000.0837599224496276,+0000.8836913360761384,+0000.0018793111905787,+0000.0306694302836552
+0000.0893368756179986,+0000.8781640562188872,+0000.0016815714213544,+0000.0308174967417597
+0000.0950721794745821,+0000.8724771600787994,+0000.0014930388177736,+0000.0309576216288449
+0000.1009632390049713,+0000.8666330301981249,+0000.0013140630858845,+0000.0310896677110193
+0000.1070073947368978,+0000.8606341122493777,+0000.0011449914718138,+0000.0312135015419105
+0000.1132019239214123,+0000.8544829139645305,+0000.0009861685165637,+0000.0313289935974934
+0000.1195440417405384,+0000.8481820040387114,+0000.0008379358110468,+0000.0314360184097034
+0000.1260309025408524,+0000.8417340110088964,+0000.0007006317515126,+0000.0315344546987383
+0000.1326596010924410,+0000.8351416221080866,+0000.0005745912955185,+0000.0316241855039537
+0000.1394271738726668,+0000.8284075820954820,+0000.0004601457185969,+0000.0317050983132541
+0000.1463306003741729,+0000.8215346920631665,+0000.0003576223717733,+0000.0317770851908870
+0000.1533668044365392,+0000.8145258082198293,+0000.0002673444400888,+0000.0318400429035424
+0000.1605326556009936,+0000.8073838406520620,+0000.0001896307022794,+0000.0318938730446649
+0000.1678249704875790,+0000.8001117520637721,+0000.0001247952917657,+0000.0319384821568832
+0000.1752405141941560,+0000.7927125564942719,+0000.0000731474591079,+0000.0319737818524642
+0000.1827760017166238,+0000.7851893180156011,+0000.0000349913360762,+0000.0319996889316988
+0000.1904280993897223,+0000.7775451494096597,+0000.0000106257014918,+0000.0320161254991261
+0000.1981934263477801,+0000.7697832108257248,+0000.0000003437489886,+0000.0320230190775065
+0000.2060685560047536,+0000.7619067084189468,+0000.0000044328568485,+0000.0320203027194511
+0000.2140500175529063,+0000.7539188929704135,+0000.0000231743600608,+0000.0320079151166193
+0000.2221342974794585,+0000.7458230584893906,+0000.0000568433247561,+0000.0319858007063948
+0000.2303178411005395,+0000.7376225407983448,+0000.0001057083251637,+0000.0319539097759522
+0000.2385970541117592,+0000.7293207161013721,+0000.0001700312232410,+0000.0319121985636279
+0000.2469683041547178,+0000.7209209995366485,+0000.0002500669511241,+0000.0318606293575098
+0000.2554279223987552,+0000.7124268437135416,+0000.0003460632965431,+0000.0317991705911603
+0000.2639722051372478,+0000.7038417372350118,+0000.0004582606913501,+0000.0317277969363906
+0000.2725974153977418,+0000.6951692032059528,+0000.0005868920033026,+0000.0316464893930029
+0000.2812997845652194,+0000.6864127977281135,+0000.0007321823312456,+0000.0315552353754216
+0000.2900755140177745,+0000.6775761083822605,+0000.0008943488038322,+0000.0314540287961330
+0000.2989207767739867,+0000.6686627526982326,+0000.0010736003819254,+0000.0313428701458554
+0000.3078317191512597,+0000.6596763766135595,+0000.0012701376648161,+0000.0312217665703649
+0000.3168044624344025,+0000.6506206529213018,+0000.0014841527003954,+0000.0310907319439006
+0000.3258351045537127,+0000.6414992797077949,+0000.0017158287994159,+0000.0309497869390767
+0000.3349197217718334,+0000.6323159787809616,+0000.0019653403539745,+0000.0307989590932307
+0000.3440543703786344,+0000.6230744940898828,+0000.0022328526603468,+0000.0306382828711362
+0000.3532350883933827,+0000.6137785901362990,+0000.0025185217463040,+0000.0304677997240144
+0000.3624578972734500,+0000.6044320503787369,+0000.0028224942030365,+0000.0302875581447768
+0000.3717188036288142,+0000.5950386756299403,+0000.0031449070218108,+0000.0300976137194351
+0000.3810138009415995,+0000.5856022824483038,+0000.0034858874354806,+0000.0298980291746164
+0000.3903388712899101,+0000.5761267015239941,+0000.0038455527649733,+0000.0296888744211228
+0000.3996899870751950,+0000.5666157760604602,+0000.0042240102708678,+0000.0294702265934773
+0000.4090631127524000,+0000.5570733601520209,+0000.0046213570101803,+0000.0292421700853992
+0000.4184542065621449,+0000.5475033171582309,+0000.0050376796984690,+0000.0290047965811556
+0000.4278592222641722,+0000.5379095180757231,+0000.0054730545773687,+0000.0287582050827364
+0000.4372741108713157,+0000.5282958399082203,+0000.0059275472876615,+0000.0285025019328029
+0000.4466948223832282,+0000.5186661640354217,+0000.0064012127479882,+0000.0282378008333625
+0000.4561173075191213,+0000.5090243745814538,+0000.0068940950393016,+0000.0279642228601238
+0000.4655375194487567,+0000.4993743567835929,+0000.0074062272951610,+0000.0276818964724900
+0000.4749514155209448,+0000.4897199953619462,+0000.0079376315979611,+0000.0273909575191485
+0000.4843549589887932,+0000.4800651728907972,+0000.0084883188811909,+0000.0270915492392193
+0000.4937441207309642,+0000.4704137681723014,+0000.0090582888378088,+0000.0267838222589261
+0000.5031148809681889,+0000.4607696546132332,+0000.0096475298348220,+0000.0264679345837566
+0000.5124632309743006,+0000.4511366986054675,+0000.0102560188341520,+0000.0261440515860806
+0000.5217851747810422,+0000.4415187579108937,+0000.0108837213198658,+0000.0258123459881988
+0000.5310767308759174,+0000.4319196800514393,+0000.0115305912318495,+0000.0254729978407944
